[{'rouge-1': {'r': 0.65625, 'p': 0.7394366197183099, 'f': 0.6953642334283584}, 'rouge-2': {'r': 0.5737704918032787, 'p': 0.6542056074766355, 'f': 0.6113537068118459}, 'rouge-l': {'r': 0.65, 'p': 0.7323943661971831, 'f': 0.6887417168720671}}]
[{'rouge-1': {'r': 0.457286432160804, 'p': 0.5796178343949044, 'f': 0.5112359501257733}, 'rouge-2': {'r': 0.3375796178343949, 'p': 0.41732283464566927, 'f': 0.3732394316755108}, 'rouge-l': {'r': 0.45226130653266333, 'p': 0.5732484076433121, 'f': 0.5056179725976834}}]
[{'rouge-1': {'r': 0.48936170212765956, 'p': 0.6424581005586593, 'f': 0.5555555506470397}, 'rouge-2': {'r': 0.2955145118733509, 'p': 0.4409448818897638, 'f': 0.3538704533308376}, 'rouge-l': {'r': 0.4765957446808511, 'p': 0.6256983240223464, 'f': 0.5410627970238513}}]
[{'rouge-1': {'r': 0.5081081081081081, 'p': 0.5433526011560693, 'f': 0.5251396598100871}, 'rouge-2': {'r': 0.3916349809885932, 'p': 0.41365461847389556, 'f': 0.4023437450037385}, 'rouge-l': {'r': 0.5027027027027027, 'p': 0.5375722543352601, 'f': 0.5195530676313163}}]
[{'rouge-1': {'r': 0.45689655172413796, 'p': 0.5247524752475248, 'f': 0.48847925769670203}, 'rouge-2': {'r': 0.31875, 'p': 0.37777777777777777, 'f': 0.345762706900316}, 'rouge-l': {'r': 0.4396551724137931, 'p': 0.504950495049505, 'f': 0.4700460779731997}}]
[{'rouge-1': {'r': 0.5568627450980392, 'p': 0.6666666666666666, 'f': 0.6068376018778765}, 'rouge-2': {'r': 0.44776119402985076, 'p': 0.5325443786982249, 'f': 0.4864864815238862}, 'rouge-l': {'r': 0.5529411764705883, 'p': 0.6619718309859155, 'f': 0.6025640976043721}}]
[{'rouge-1': {'r': 0.4825174825174825, 'p': 0.71875, 'f': 0.5774058529339472}, 'rouge-2': {'r': 0.30869565217391304, 'p': 0.5590551181102362, 'f': 0.3977590990576623}, 'rouge-l': {'r': 0.4825174825174825, 'p': 0.71875, 'f': 0.5774058529339472}}]
[{'rouge-1': {'r': 0.48148148148148145, 'p': 0.6797385620915033, 'f': 0.5636856320021152}, 'rouge-2': {'r': 0.3902439024390244, 'p': 0.5470085470085471, 'f': 0.45551600937475467}, 'rouge-l': {'r': 0.47685185185185186, 'p': 0.673202614379085, 'f': 0.5582655778015733}}]
[{'rouge-1': {'r': 0.5616438356164384, 'p': 0.6577540106951871, 'f': 0.6059113250803223}, 'rouge-2': {'r': 0.4415204678362573, 'p': 0.5189003436426117, 'f': 0.4770932019834835}, 'rouge-l': {'r': 0.5570776255707762, 'p': 0.6524064171122995, 'f': 0.6009852167059381}}]
[{'rouge-1': {'r': 0.5, 'p': 0.7216494845360825, 'f': 0.5907172947426517}, 'rouge-2': {'r': 0.37435897435897436, 'p': 0.5367647058823529, 'f': 0.4410876084519127}, 'rouge-l': {'r': 0.4785714285714286, 'p': 0.6907216494845361, 'f': 0.5654008390464491}}]
[{'rouge-1': {'r': 0.5310077519379846, 'p': 0.631336405529954, 'f': 0.57684210030041}, 'rouge-2': {'r': 0.3929471032745592, 'p': 0.46567164179104475, 'f': 0.4262295032325913}, 'rouge-l': {'r': 0.5232558139534884, 'p': 0.6221198156682027, 'f': 0.5684210476688311}}]
